Regija,YearMonth,SO2,PM10,NO2
Savinjska,2021-06,4.222222222222222,19.142857142857142,6.428571428571429
Posavska,2021-07,3.0,15.0,
Obalno-kraška,2021-07,,15.0,10.0
Goriška,2021-07,,13.8,12.5
Zasavska,2021-07,1.0,16.0,13.0
Gorenjska,2021-07,,15.0,
Pomurska,2021-07,,17.0,6.0
Osrednjeslovenska,2021-07,3.0,18.0,20.5
Koroška,2021-07,2.0,16.0,
Podravska,2021-07,,17.285714285714285,14.0
Jugovzhodna Slovenija,2021-07,,14.5,4.0
Savinjska,2021-07,4.777777777777778,14.285714285714286,6.714285714285714
Podravska,2021-08,,12.142857142857142,12.333333333333334
Jugovzhodna Slovenija,2021-08,,11.0,4.0
Savinjska,2021-08,5.0,11.857142857142858,6.285714285714286
Pomurska,2021-08,,11.0,5.0
Goriška,2021-08,,10.6,11.5
Zasavska,2021-08,1.5,12.333333333333334,14.0
Gorenjska,2021-08,,12.0,
Osrednjeslovenska,2021-08,2.5,16.142857142857142,20.75
Koroška,2021-08,3.0,11.5,
Posavska,2021-08,2.0,10.0,
Obalno-kraška,2021-08,,13.0,11.0
Koroška,2021-09,2.0,16.0,
Zasavska,2021-09,2.0,16.0,18.0
Posavska,2021-09,4.0,16.0,
Obalno-kraška,2021-09,,15.0,12.0
Pomurska,2021-09,,17.5,7.0
Gorenjska,2021-09,,17.0,
Savinjska,2021-09,3.6666666666666665,17.857142857142858,9.714285714285714
Podravska,2021-09,,17.0,17.666666666666668
Osrednjeslovenska,2021-09,3.0,21.0,26.0
Goriška,2021-09,,13.8,16.5
Jugovzhodna Slovenija,2021-09,,13.5,5.5
Posavska,2021-10,3.0,17.0,
Podravska,2021-10,,22.285714285714285,18.0
Savinjska,2021-10,3.4444444444444446,20.714285714285715,11.142857142857142
Gorenjska,2021-10,,20.0,
Pomurska,2021-10,,26.0,9.0
Goriška,2021-10,,14.2,18.0
Zasavska,2021-10,2.5,21.333333333333332,17.0
Obalno-kraška,2021-10,,14.0,12.0
Koroška,2021-10,4.0,17.5,
Jugovzhodna Slovenija,2021-10,,15.5,6.5
Osrednjeslovenska,2021-10,2.5,25.857142857142858,25.75
Osrednjeslovenska,2021-11,3.0,27.142857142857142,26.75
Goriška,2021-11,,14.8,18.5
Pomurska,2021-11,,28.5,14.0
Gorenjska,2021-11,,27.0,
Podravska,2021-11,,24.285714285714285,22.0
Savinjska,2021-11,3.7777777777777777,24.285714285714285,13.714285714285714
Zasavska,2021-11,1.5,24.333333333333332,20.0
Obalno-kraška,2021-11,,15.0,16.0
Posavska,2021-11,3.0,19.0,
Koroška,2021-11,2.0,20.0,
Jugovzhodna Slovenija,2021-11,,15.5,8.0
Savinjska,2021-12,3.2222222222222223,21.8,17.142857142857142
Gorenjska,2021-12,,34.0,
Pomurska,2021-12,,32.5,19.0
Jugovzhodna Slovenija,2021-12,,15.5,9.5
Podravska,2021-12,,26.571428571428573,27.0
Goriška,2021-12,,19.6,24.0
Osrednjeslovenska,2021-12,3.0,32.5,39.25
Obalno-kraška,2021-12,,16.0,24.0
Koroška,2021-12,3.0,26.5,
Zasavska,2021-12,2.5,27.666666666666668,23.0
Posavska,2021-12,4.0,16.0,
Posavska,2022-01,3.0,18.0,
Zasavska,2022-01,2.0,36.666666666666664,28.0
Koroška,2022-01,3.0,29.0,
Jugovzhodna Slovenija,2022-01,1.0,18.5,10.0
Obalno-kraška,2022-01,,24.0,24.0
Savinjska,2022-01,3.8,26.666666666666668,18.0
Goriška,2022-01,,25.25,37.0
Osrednjeslovenska,2022-01,3.0,39.333333333333336,41.5
Podravska,2022-01,,32.285714285714285,33.333333333333336
Pomurska,2022-01,,43.0,17.0
Gorenjska,2022-01,,36.0,
Obalno-kraška,2022-02,,20.0,24.0
Jugovzhodna Slovenija,2022-02,1.0,12.5,9.0
Koroška,2022-02,4.0,23.0,
Zasavska,2022-02,3.0,22.0,24.0
Posavska,2022-02,4.0,15.0,
Savinjska,2022-02,4.0,20.5,15.0
Podravska,2022-02,,20.857142857142858,24.666666666666668
Pomurska,2022-02,,25.5,12.0
Gorenjska,2022-02,,21.0,
Osrednjeslovenska,2022-02,2.0,23.833333333333332,30.0
Goriška,2022-02,,23.5,33.0
Goriška,2022-03,,25.0,35.0
Osrednjeslovenska,2022-03,3.0,34.5,31.5
Podravska,2022-03,,32.0,25.0
Savinjska,2022-03,4.0,31.666666666666668,17.142857142857142
Jugovzhodna Slovenija,2022-03,2.0,21.0,8.5
Obalno-kraška,2022-03,,24.0,20.0
Koroška,2022-03,5.0,30.0,
Zasavska,2022-03,3.0,29.333333333333332,27.0
Posavska,2022-03,6.0,31.0,
Pomurska,2022-03,,36.5,13.0
Gorenjska,2022-03,,31.0,
Jugovzhodna Slovenija,2022-04,2.0,10.5,5.5
Obalno-kraška,2022-04,,13.0,12.0
Posavska,2022-04,5.0,13.0,
Pomurska,2022-04,,16.0,7.0
Gorenjska,2022-04,,14.0,
Zasavska,2022-04,1.0,14.0,16.0
Koroška,2022-04,5.0,14.0,
Osrednjeslovenska,2022-04,2.5,15.833333333333334,23.0
Goriška,2022-04,,14.0,20.0
Savinjska,2022-04,3.0,13.166666666666666,9.428571428571429
Podravska,2022-04,,15.285714285714286,16.0
Gorenjska,2022-05,,16.0,
Savinjska,2022-05,3.0,15.333333333333334,8.285714285714286
Goriška,2022-05,,15.25,17.0
Podravska,2022-05,,18.142857142857142,13.333333333333334
Koroška,2022-05,6.0,22.0,
Zasavska,2022-05,2.0,16.0,14.0
Osrednjeslovenska,2022-05,4.0,18.833333333333332,23.25
Pomurska,2022-05,,17.5,6.0
Posavska,2022-05,7.0,15.0,
Jugovzhodna Slovenija,2022-05,1.0,14.5,4.0
Obalno-kraška,2022-05,,18.0,12.0
Pomurska,2022-06,,16.0,4.0
Podravska,2022-06,,17.0,12.333333333333334
Goriška,2022-06,,17.0,17.0
Posavska,2022-06,6.0,14.0,
Osrednjeslovenska,2022-06,4.0,20.0,20.0
Obalno-kraška,2022-06,,20.0,11.0
Koroška,2022-06,5.0,20.0,
Jugovzhodna Slovenija,2022-06,1.0,17.0,3.5
Zasavska,2022-06,3.0,16.666666666666668,12.0
Savinjska,2022-06,3.0,15.166666666666666,7.142857142857143
Gorenjska,2022-06,,17.0,
Goriška,2022-07,,16.666666666666668,17.0
Podravska,2022-07,,15.285714285714286,12.0
Savinjska,2022-07,2.4,12.666666666666666,7.571428571428571
Pomurska,2022-07,,15.0,5.0
Gorenjska,2022-07,,14.0,
Jugovzhodna Slovenija,2022-07,1.0,14.5,4.0
Posavska,2022-07,4.0,13.0,
Obalno-kraška,2022-07,,18.0,11.0
Osrednjeslovenska,2022-07,2.5,18.5,18.75
Zasavska,2022-07,1.0,13.333333333333334,12.0
Koroška,2022-07,3.0,16.0,
Goriška,2022-08,,12.75,17.0
Podravska,2022-08,,14.714285714285714,12.333333333333334
Gorenjska,2022-08,,12.0,
Obalno-kraška,2022-08,,12.0,12.0
Jugovzhodna Slovenija,2022-08,1.0,12.5,4.0
Savinjska,2022-08,2.7,11.333333333333334,7.142857142857143
Pomurska,2022-08,,15.0,5.0
Osrednjeslovenska,2022-08,2.5,16.0,20.0
Posavska,2022-08,6.0,12.0,
Zasavska,2022-08,1.0,13.333333333333334,13.0
Koroška,2022-08,4.0,16.0,
Koroška,2022-09,5.0,15.0,
Posavska,2022-09,6.0,8.0,
Osrednjeslovenska,2022-09,2.0,12.166666666666666,24.25
Jugovzhodna Slovenija,2022-09,1.0,8.5,5.0
Pomurska,2022-09,,12.5,6.0
Savinjska,2022-09,3.1,9.166666666666666,8.142857142857142
Podravska,2022-09,,12.142857142857142,15.5
Obalno-kraška,2022-09,,10.0,9.0
Gorenjska,2022-09,,10.0,
Goriška,2022-09,,10.5,19.0
Zasavska,2022-09,1.0,10.666666666666666,14.0
Savinjska,2022-10,3.1,20.666666666666668,9.428571428571429
Goriška,2022-10,,22.75,22.0
Podravska,2022-10,,25.571428571428573,15.333333333333334
Jugovzhodna Slovenija,2022-10,2.0,20.0,6.5
Pomurska,2022-10,,27.0,10.0
Obalno-kraška,2022-10,,25.0,15.0
Osrednjeslovenska,2022-10,2.0,27.333333333333332,27.0
Posavska,2022-10,5.0,20.0,
Koroška,2022-10,5.0,28.0,
Zasavska,2022-10,2.0,25.666666666666668,16.0
Gorenjska,2022-10,,24.0,
Koroška,2022-11,3.0,21.0,
Posavska,2022-11,4.0,13.0,
Pomurska,2022-11,,29.0,12.0
Savinjska,2022-11,3.8,16.333333333333332,10.714285714285714
Gorenjska,2022-11,,22.0,
Goriška,2022-11,,16.75,25.0
Podravska,2022-11,,21.714285714285715,15.333333333333334
Jugovzhodna Slovenija,2022-11,2.0,14.0,7.0
Obalno-kraška,2022-11,,13.0,14.0
Osrednjeslovenska,2022-11,1.5,21.166666666666668,27.75
Zasavska,2022-11,3.0,19.0,18.0
Jugovzhodna Slovenija,2022-12,1.0,15.0,9.0
Obalno-kraška,2022-12,,24.0,19.0
Podravska,2022-12,,25.142857142857142,22.333333333333332
Goriška,2022-12,,22.25,28.0
Osrednjeslovenska,2022-12,2.0,21.333333333333332,30.0
Posavska,2022-12,3.0,15.0,
Koroška,2022-12,3.0,21.0,
Pomurska,2022-12,,36.5,15.0
Savinjska,2022-12,3.9,18.833333333333332,14.714285714285714
Gorenjska,2022-12,,21.0,
Zasavska,2022-12,3.0,18.333333333333332,21.0
