Regija,YearMonth,SO2,PM10,NO2
Osrednjeslovenska,2005-09,5.5,26.0,12.0
Goriška,2005-09,5.0,33.0,20.0
Zasavska,2005-10,14.857142857142858,51.0,17.5
Podravska,2005-10,12.0,57.5,27.0
Goriška,2005-10,7.0,38.0,24.0
Posavska,2005-10,18.0,31.0,
Pomurska,2005-10,3.0,43.0,15.0
Osrednjeslovenska,2005-10,7.0,44.0,13.0
Savinjska,2005-10,9.25,43.0,10.666666666666666
Koroška,2005-10,3.0,,
Posavska,2005-11,7.5,28.0,
Goriška,2005-11,5.0,32.0,22.0
Podravska,2005-11,9.0,52.0,39.0
Koroška,2005-11,6.0,,
Zasavska,2005-11,8.714285714285714,41.333333333333336,19.0
Pomurska,2005-11,5.0,43.0,20.0
Osrednjeslovenska,2005-11,4.5,36.0,16.0
Savinjska,2005-11,12.0,37.666666666666664,25.25
Savinjska,2005-12,12.0,39.333333333333336,29.75
Osrednjeslovenska,2005-12,7.0,48.0,25.5
Pomurska,2005-12,6.0,41.0,18.0
Posavska,2005-12,17.5,21.0,
Goriška,2005-12,6.0,34.0,30.0
Zasavska,2005-12,8.142857142857142,49.0,18.0
Koroška,2005-12,6.0,,
Podravska,2005-12,7.0,39.0,47.0
Jugovzhodna Slovenija,2006-01,,30.0,
Podravska,2006-01,16.0,71.0,55.0
Obalno-kraška,2006-01,,33.0,
Zasavska,2006-01,12.428571428571429,69.66666666666667,23.0
Pomurska,2006-01,7.0,86.0,16.0
Goriška,2006-01,11.0,39.0,34.0
Osrednjeslovenska,2006-01,12.0,53.0,27.0
Savinjska,2006-01,13.666666666666666,70.33333333333333,20.25
Koroška,2006-01,9.0,,
Posavska,2006-01,13.0,47.0,
Posavska,2006-02,22.0,35.0,
Pomurska,2006-02,9.0,45.0,17.0
Podravska,2006-02,11.0,53.0,53.0
Zasavska,2006-02,7.428571428571429,55.333333333333336,24.5
Goriška,2006-02,7.0,35.0,30.0
Koroška,2006-02,9.0,,
Savinjska,2006-02,10.222222222222221,51.0,18.5
Osrednjeslovenska,2006-02,7.5,41.0,27.0
Jugovzhodna Slovenija,2006-02,,16.0,
Obalno-kraška,2006-02,,33.0,
Posavska,2006-03,12.5,32.0,
Koroška,2006-03,8.0,,
Osrednjeslovenska,2006-03,6.0,33.0,21.5
Goriška,2006-03,4.0,35.0,25.0
Obalno-kraška,2006-03,,39.0,
Savinjska,2006-03,8.666666666666666,38.333333333333336,11.75
Pomurska,2006-03,9.0,36.0,15.0
Podravska,2006-03,7.0,49.0,44.0
Jugovzhodna Slovenija,2006-03,,17.0,
Zasavska,2006-03,8.285714285714286,46.666666666666664,18.5
Posavska,2006-04,22.0,23.0,
Jugovzhodna Slovenija,2006-04,,12.0,
Obalno-kraška,2006-04,,34.0,
Zasavska,2006-04,5.857142857142857,30.333333333333332,17.5
Pomurska,2006-04,6.0,24.0,15.0
Podravska,2006-04,4.0,33.0,33.0
Goriška,2006-04,2.0,24.0,20.0
Koroška,2006-04,4.0,,
Savinjska,2006-04,4.888888888888889,27.333333333333332,7.75
Osrednjeslovenska,2006-04,4.5,22.0,14.5
Podravska,2006-05,5.0,32.0,33.0
Goriška,2006-05,2.0,29.0,17.0
Posavska,2006-05,11.0,26.0,
Koroška,2006-05,3.0,,
Obalno-kraška,2006-05,,35.0,
Pomurska,2006-05,6.0,25.0,19.0
