Postaja,Leto,Mesec,NOX
maribor,2004,Maj,47.0
celje,2004,Maj,25.0
trbovlje,2004,Maj,40.0
nova gorica,2004,Maj,26.0
murska s.-rakican,2004,Maj,13.0
zavodnje,2004,Maj,5.0
skale,2004,Maj,8.0
kovk,2004,Maj,13.0
sv.mohor,2004,Maj,12.0
vnajnarje,2004,Maj,4.0
eis celje,2004,Maj,
ljubljana b.,2004,Jun,26.0
maribor,2004,Jun,36.0
celje,2004,Jun,20.0
trbovlje,2004,Jun,42.0
nova gorica,2004,Jun,26.0
murska s.-rakican,2004,Jun,11.0
zavodnje,2004,Jun,7.0
skale,2004,Jun,5.0
kovk,2004,Jun,12.0
sv.mohor,2004,Jun,8.0
vnajnarje,2004,Jun,3.0
eis celje,2004,Jun,
ljubljana b.,2004,Jul,22.0
maribor,2004,Jul,36.0
celje,2004,Jul,17.0
trbovlje,2004,Jul,39.0
nova gorica,2004,Jul,22.0
murska s.-rakican,2004,Jul,10.0
zavodnje,2004,Jul,8.0
skale,2004,Jul,5.0
kovk,2004,Jul,13.0
sv.mohor,2004,Jul,3.0
vnajnarje,2004,Jul,3.0
eis celje,2004,Jul,
ljubljana b.,2004,Avg,22.0
maribor,2004,Avg,39.0
celje,2004,Avg,17.0
trbovlje,2004,Avg,35.0
nova gorica,2004,Avg,25.0
murska s.-rakican,2004,Avg,11.0
zavodnje,2004,Avg,5.0
skale,2004,Avg,5.0
kovk,2004,Avg,16.0
sv.mohor,2004,Avg,3.0
vnajnarje,2004,Avg,4.0
eis celje,2004,Avg,
ljubljana b.,2004,Sep,34.0
maribor,2004,Sep,43.0
celje,2004,Sep,33.0
trbovlje,2004,Sep,46.0
nova gorica,2004,Sep,32.0
murska s.-rakican,2004,Sep,13.0
zavodnje,2004,Sep,4.0
skale,2004,Sep,7.0
kovk,2004,Sep,8.0
