Postaja,Leto,Mesec,NO2
vnajnarje,2003,Jul,3.0
ljubljana b.,2003,Avg,25.0
maribor,2003,Avg,28.0
celje,2003,Avg,20.0
trbovlje,2003,Avg,32.0
nova gorica,2003,Avg,19.0
murska s.-rakican,2003,Avg,13.0
zavodnje,2003,Avg,4.0
skale,2003,Avg,5.0
kovk,2003,Avg,
vnajnarje,2003,Avg,3.0
ljubljana b.,2003,Sep,33.0
maribor,2003,Sep,32.0
celje,2003,Sep,26.0
trbovlje,2003,Sep,31.0
nova gorica,2003,Sep,26.0
murska s.-rakican,2003,Sep,13.0
zavodnje,2003,Sep,6.0
skale,2003,Sep,5.0
kovk,2003,Sep,2.0
vnajnarje,2003,Sep,4.0
ljubljana b.,2003,Okt,29.0
maribor,2003,Okt,34.0
celje,2003,Okt,23.0
trbovlje,2003,Okt,27.0
nova gorica,2003,Okt,29.0
murska s.-rakican,2003,Okt,11.0
zavodnje,2003,Okt,3.0
skale,2003,Okt,7.0
kovk,2003,Okt,4.0
vnajnarje,2003,Okt,5.0
ljubljana b.,2003,Nov,30.0
maribor,2003,Nov,36.0
celje,2003,Nov,24.0
trbovlje,2003,Nov,23.0
nova gorica,2003,Nov,30.0
murska s.-rakican,2003,Nov,11.0
zavodnje,2003,Nov,4.0
skale,2003,Nov,10.0
kovk,2003,Nov,5.0
vnajnarje,2003,Nov,6.0
ljubljana b.,2003,Dec,37.0
maribor,2003,Dec,36.0
celje,2003,Dec,32.0
trbovlje,2003,Dec,31.0
nova gorica,2003,Dec,36.0
murska s.-rakican,2003,Dec,13.0
zavodnje,2003,Dec,6.0
skale,2003,Dec,13.0
kovk,2003,Dec,8.0
vnajnarje,2003,Dec,9.0
ljubljana b.,2004,Jan,37.0
maribor,2004,Jan,34.0
celje,2004,Jan,33.0
trbovlje,2004,Jan,27.0
nova gorica,2004,Jan,33.0
murska s.-rakican,2004,Jan,14.0
zavodnje,2004,Jan,4.0
skale,2004,Jan,15.0
kovk,2004,Jan,22.0
sv.mohor,2004,Jan,9.0
vnajnarje,2004,Jan,9.0
eis celje,2004,Jan,50.0
ljubljana b.,2004,Feb,42.0
maribor,2004,Feb,36.0
celje,2004,Feb,38.0
trbovlje,2004,Feb,29.0
nova gorica,2004,Feb,31.0
murska s.-rakican,2004,Feb,18.0
zavodnje,2004,Feb,8.0
skale,2004,Feb,14.0
kovk,2004,Feb,5.0
sv.mohor,2004,Feb,7.0
vnajnarje,2004,Feb,7.0
eis celje,2004,Feb,48.0
ljubljana b.,2004,Mar,42.0
maribor,2004,Mar,37.0
celje,2004,Mar,36.0
trbovlje,2004,Mar,30.0
nova gorica,2004,Mar,26.0
murska s.-rakican,2004,Mar,10.0
zavodnje,2004,Mar,8.0
skale,2004,Mar,9.0
kovk,2004,Mar,11.0
sv.mohor,2004,Mar,4.0
vnajnarje,2004,Mar,5.0
eis celje,2004,Mar,50.0
ljubljana b.,2004,Apr,29.0
maribor,2004,Apr,33.0
celje,2004,Apr,26.0
trbovlje,2004,Apr,31.0
nova gorica,2004,Apr,26.0
murska s.-rakican,2004,Apr,8.0
zavodnje,2004,Apr,4.0
skale,2004,Apr,8.0
kovk,2004,Apr,12.0
sv.mohor,2004,Apr,4.0
vnajnarje,2004,Apr,4.0
eis celje,2004,Apr,38.0
ljubljana b.,2004,Maj,24.0
maribor,2004,Maj,32.0
celje,2004,Maj,19.0
trbovlje,2004,Maj,26.0
nova gorica,2004,Maj,20.0
murska s.-rakican,2004,Maj,10.0
zavodnje,2004,Maj,4.0
skale,2004,Maj,7.0
kovk,2004,Maj,13.0
sv.mohor,2004,Maj,9.0
vnajnarje,2004,Maj,3.0
eis celje,2004,Maj,31.0
ljubljana b.,2004,Jun,22.0
maribor,2004,Jun,24.0
celje,2004,Jun,15.0
trbovlje,2004,Jun,27.0
nova gorica,2004,Jun,20.0
murska s.-rakican,2004,Jun,9.0
zavodnje,2004,Jun,4.0
skale,2004,Jun,5.0
kovk,2004,Jun,8.0
sv.mohor,2004,Jun,
vnajnarje,2004,Jun,3.0
eis celje,2004,Jun,
ljubljana b.,2004,Jul,18.0
maribor,2004,Jul,25.0
celje,2004,Jul,13.0
trbovlje,2004,Jul,25.0
nova gorica,2004,Jul,18.0
