Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
hrastnik,Zasavska,1998,Maj,,17.0,,
kovk,Zasavska,1998,Maj,,38.0,3.0,3.0
kum,Zasavska,1998,Maj,,19.0,,
ljubljana b.,Osrednjeslovenska,1998,Maj,,10.0,,
ljubljana f.,Osrednjeslovenska,1998,Maj,,12.0,,
maribor,Podravska,1998,Maj,,12.0,36.0,52.0
ravenska vas,Zasavska,1998,Maj,,102.0,,
skale,Savinjska,1998,Maj,,11.0,6.0,6.0
skale,Savinjska,1998,Maj,,11.0,6.0,76.0
skale,Savinjska,1998,Maj,,11.0,43.0,6.0
skale,Savinjska,1998,Maj,,11.0,43.0,76.0
skale,Savinjska,1998,Maj,,10.0,6.0,6.0
skale,Savinjska,1998,Maj,,10.0,6.0,76.0
skale,Savinjska,1998,Maj,,10.0,43.0,6.0
skale,Savinjska,1998,Maj,,10.0,43.0,76.0
sostanj,Savinjska,1998,Maj,,38.0,,
topolsica,Savinjska,1998,Maj,,16.0,,
trbovlje,Zasavska,1998,Maj,,17.0,30.0,48.0
velenje,Savinjska,1998,Maj,,5.0,,
veliki vrh,Savinjska,1998,Maj,,34.0,,
vnajnarje,Osrednjeslovenska,1998,Maj,,12.0,0.0,0.0
zagorje,Zasavska,1998,Maj,,24.0,,
zavodnje,Savinjska,1998,Maj,,26.0,5.0,5.0
celje,Savinjska,1998,Jun,,8.0,18.0,21.0
dobovec,Zasavska,1998,Jun,,15.0,,
eis celje,Savinjska,1998,Jun,,10.0,37.0,
eis krsko,Posavska,1998,Jun,,25.0,,
graska gora,Koroška,1998,Jun,,19.0,,
hrastnik,Zasavska,1998,Jun,,11.0,,
kovk,Zasavska,1998,Jun,,33.0,8.0,9.0
kum,Zasavska,1998,Jun,,11.0,,
ljubljana b.,Osrednjeslovenska,1998,Jun,,10.0,,
ljubljana f.,Osrednjeslovenska,1998,Jun,,9.0,28.0,35.0
maribor,Podravska,1998,Jun,,7.0,33.0,47.0
ravenska vas,Zasavska,1998,Jun,,47.0,,
skale,Savinjska,1998,Jun,,21.0,7.0,8.0
skale,Savinjska,1998,Jun,,21.0,7.0,65.0
skale,Savinjska,1998,Jun,,21.0,39.0,8.0
skale,Savinjska,1998,Jun,,21.0,39.0,65.0
skale,Savinjska,1998,Jun,,8.0,7.0,8.0
skale,Savinjska,1998,Jun,,8.0,7.0,65.0
skale,Savinjska,1998,Jun,,8.0,39.0,8.0
skale,Savinjska,1998,Jun,,8.0,39.0,65.0
sostanj,Savinjska,1998,Jun,,71.0,,
topolsica,Savinjska,1998,Jun,,17.0,,
trbovlje,Zasavska,1998,Jun,,12.0,22.0,37.0
velenje,Savinjska,1998,Jun,,7.0,,
veliki vrh,Savinjska,1998,Jun,,57.0,,
vnajnarje,Osrednjeslovenska,1998,Jun,,4.0,2.0,2.0
zagorje,Zasavska,1998,Jun,,7.0,,
zavodnje,Savinjska,1998,Jun,,31.0,5.0,6.0
celje,Savinjska,1998,Jul,,8.0,22.0,26.0
dobovec,Zasavska,1998,Jul,,67.0,,
eis celje,Savinjska,1998,Jul,,8.0,38.0,
eis krsko,Posavska,1998,Jul,,36.0,,
graska gora,Koroška,1998,Jul,,25.0,,
hrastnik,Zasavska,1998,Jul,,24.0,,
kovk,Zasavska,1998,Jul,,63.0,5.0,6.0
kum,Zasavska,1998,Jul,,13.0,,
ljubljana b.,Osrednjeslovenska,1998,Jul,,12.0,,
ljubljana f.,Osrednjeslovenska,1998,Jul,,8.0,32.0,40.0
maribor,Podravska,1998,Jul,,6.0,32.0,43.0
ravenska vas,Zasavska,1998,Jul,,93.0,,
skale,Savinjska,1998,Jul,,10.0,5.0,6.0
skale,Savinjska,1998,Jul,,10.0,5.0,30.0
skale,Savinjska,1998,Jul,,10.0,26.0,6.0
skale,Savinjska,1998,Jul,,10.0,26.0,30.0
skale,Savinjska,1998,Jul,,6.0,5.0,6.0
skale,Savinjska,1998,Jul,,6.0,5.0,30.0
skale,Savinjska,1998,Jul,,6.0,26.0,6.0
skale,Savinjska,1998,Jul,,6.0,26.0,30.0
sostanj,Savinjska,1998,Jul,,31.0,,
topolsica,Savinjska,1998,Jul,,31.0,,
trbovlje,Zasavska,1998,Jul,,23.0,23.0,36.0
velenje,Savinjska,1998,Jul,,6.0,,
veliki vrh,Savinjska,1998,Jul,,36.0,,
vnajnarje,Osrednjeslovenska,1998,Jul,,6.0,2.0,2.0
zagorje,Zasavska,1998,Jul,,18.0,,
zavodnje,Savinjska,1998,Jul,,27.0,5.0,5.0
celje,Savinjska,1998,Avg,,11.0,,
dobovec,Zasavska,1998,Avg,,57.0,,
eis celje,Savinjska,1998,Avg,,4.0,,
eis krsko,Posavska,1998,Avg,,22.0,,
graska gora,Koroška,1998,Avg,,12.0,,
hrastnik,Zasavska,1998,Avg,,15.0,,
kovk,Zasavska,1998,Avg,,25.0,4.0,4.0
kum,Zasavska,1998,Avg,,9.0,,
ljubljana b.,Osrednjeslovenska,1998,Avg,,12.0,,
ljubljana f.,Osrednjeslovenska,1998,Avg,,10.0,32.0,40.0
maribor,Podravska,1998,Avg,,8.0,26.0,35.0
ravenska vas,Zasavska,1998,Avg,,124.0,,
skale,Savinjska,1998,Avg,,4.0,4.0,4.0
skale,Savinjska,1998,Avg,,4.0,4.0,30.0
skale,Savinjska,1998,Avg,,4.0,26.0,4.0
skale,Savinjska,1998,Avg,,4.0,26.0,30.0
skale,Savinjska,1998,Avg,,7.0,4.0,4.0
skale,Savinjska,1998,Avg,,7.0,4.0,30.0
skale,Savinjska,1998,Avg,,7.0,26.0,4.0
