Postaja,Regija,Datum,SO2
veliki vrh,Savinjska,1999-11-30,390.0
zavodnje,Savinjska,1999-11-30,271.0
velenje,Savinjska,1999-11-30,38.0
skale,Savinjska,1999-11-30,32.0
eis celje,Savinjska,1999-11-30,73.0
trbovlje,Zasavska,1999-11-30,112.0
hrastnik,Zasavska,1999-11-30,126.0
zagorje,Zasavska,1999-11-30,86.0
kovk,Zasavska,1999-11-30,317.0
dobovec,Zasavska,1999-11-30,300.0
kum,Zasavska,1999-11-30,100.0
ravenska vas,Zasavska,1999-11-30,168.0
graska gora,Koroška,1999-12-31,300.0
ljubljana f.,Osrednjeslovenska,1999-12-31,39.0
ljubljana b.,Osrednjeslovenska,1999-12-31,47.0
vnajnarje,Osrednjeslovenska,1999-12-31,46.0
maribor,Podravska,1999-12-31,82.0
eis krsko,Posavska,1999-12-31,142.0
celje,Savinjska,1999-12-31,106.0
sostanj,Savinjska,1999-12-31,303.0
topolsica,Savinjska,1999-12-31,178.0
veliki vrh,Savinjska,1999-12-31,266.0
zavodnje,Savinjska,1999-12-31,1046.0
velenje,Savinjska,1999-12-31,70.0
skale,Savinjska,1999-12-31,202.0
eis celje,Savinjska,1999-12-31,121.0
trbovlje,Zasavska,1999-12-31,53.0
hrastnik,Zasavska,1999-12-31,97.0
zagorje,Zasavska,1999-12-31,62.0
kovk,Zasavska,1999-12-31,328.0
dobovec,Zasavska,1999-12-31,582.0
kum,Zasavska,1999-12-31,67.0
ravenska vas,Zasavska,1999-12-31,369.0
graska gora,Koroška,2000-01-31,143.0
ljubljana f.,Osrednjeslovenska,2000-01-31,56.0
ljubljana b.,Osrednjeslovenska,2000-01-31,67.0
vnajnarje,Osrednjeslovenska,2000-01-31,47.0
maribor,Podravska,2000-01-31,75.0
eis krsko,Posavska,2000-01-31,126.0
celje,Savinjska,2000-01-31,165.0
sostanj,Savinjska,2000-01-31,185.0
topolsica,Savinjska,2000-01-31,255.0
veliki vrh,Savinjska,2000-01-31,383.0
zavodnje,Savinjska,2000-01-31,344.0
velenje,Savinjska,2000-01-31,60.0
skale,Savinjska,2000-01-31,112.0
eis celje,Savinjska,2000-01-31,120.0
trbovlje,Zasavska,2000-01-31,134.0
hrastnik,Zasavska,2000-01-31,133.0
zagorje,Zasavska,2000-01-31,157.0
kovk,Zasavska,2000-01-31,172.0
dobovec,Zasavska,2000-01-31,841.0
kum,Zasavska,2000-01-31,80.0
ravenska vas,Zasavska,2000-01-31,185.0
graska gora,Koroška,2000-02-29,343.0
ljubljana f.,Osrednjeslovenska,2000-02-29,43.0
ljubljana b.,Osrednjeslovenska,2000-02-29,30.0
vnajnarje,Osrednjeslovenska,2000-02-29,24.0
maribor,Podravska,2000-02-29,47.0
eis krsko,Posavska,2000-02-29,317.0
celje,Savinjska,2000-02-29,57.0
sostanj,Savinjska,2000-02-29,267.0
topolsica,Savinjska,2000-02-29,74.0
veliki vrh,Savinjska,2000-02-29,252.0
zavodnje,Savinjska,2000-02-29,254.0
velenje,Savinjska,2000-02-29,41.0
skale,Savinjska,2000-02-29,101.0
eis celje,Savinjska,2000-02-29,60.0
trbovlje,Zasavska,2000-02-29,65.0
hrastnik,Zasavska,2000-02-29,90.0
zagorje,Zasavska,2000-02-29,97.0
kovk,Zasavska,2000-02-29,243.0
dobovec,Zasavska,2000-02-29,329.0
kum,Zasavska,2000-02-29,165.0
ravenska vas,Zasavska,2000-02-29,129.0
graska gora,Koroška,2000-03-31,173.0
ljubljana f.,Osrednjeslovenska,2000-03-31,16.0
ljubljana b.,Osrednjeslovenska,2000-03-31,34.0
vnajnarje,Osrednjeslovenska,2000-03-31,12.0
maribor,Podravska,2000-03-31,52.0
eis krsko,Posavska,2000-03-31,154.0
celje,Savinjska,2000-03-31,30.0
sostanj,Savinjska,2000-03-31,308.0
topolsica,Savinjska,2000-03-31,141.0
veliki vrh,Savinjska,2000-03-31,208.0
zavodnje,Savinjska,2000-03-31,313.0
velenje,Savinjska,2000-03-31,52.0
skale,Savinjska,2000-03-31,87.0
eis celje,Savinjska,2000-03-31,38.0
trbovlje,Zasavska,2000-03-31,44.0
hrastnik,Zasavska,2000-03-31,60.0
zagorje,Zasavska,2000-03-31,56.0
kovk,Zasavska,2000-03-31,304.0
dobovec,Zasavska,2000-03-31,176.0
kum,Zasavska,2000-03-31,91.0
ravenska vas,Zasavska,2000-03-31,164.0
graska gora,Koroška,2000-04-30,160.0
ljubljana f.,Osrednjeslovenska,2000-04-30,47.0
ljubljana b.,Osrednjeslovenska,2000-04-30,16.0
vnajnarje,Osrednjeslovenska,2000-04-30,26.0
maribor,Podravska,2000-04-30,14.0
eis krsko,Posavska,2000-04-30,165.0
celje,Savinjska,2000-04-30,31.0
sostanj,Savinjska,2000-04-30,283.0
topolsica,Savinjska,2000-04-30,41.0
veliki vrh,Savinjska,2000-04-30,215.0
zavodnje,Savinjska,2000-04-30,80.0
velenje,Savinjska,2000-04-30,10.0
skale,Savinjska,2000-04-30,98.0
eis celje,Savinjska,2000-04-30,39.0
trbovlje,Zasavska,2000-04-30,36.0
hrastnik,Zasavska,2000-04-30,91.0
zagorje,Zasavska,2000-04-30,59.0
kovk,Zasavska,2000-04-30,157.0
dobovec,Zasavska,2000-04-30,114.0
kum,Zasavska,2000-04-30,43.0
ravenska vas,Zasavska,2000-04-30,178.0
graska gora,Koroška,2000-05-31,259.0
ljubljana f.,Osrednjeslovenska,2000-05-31,16.0
ljubljana b.,Osrednjeslovenska,2000-05-31,17.0
vnajnarje,Osrednjeslovenska,2000-05-31,42.0
maribor,Podravska,2000-05-31,14.0
eis krsko,Posavska,2000-05-31,149.0
celje,Savinjska,2000-05-31,17.0
sostanj,Savinjska,2000-05-31,265.0
topolsica,Savinjska,2000-05-31,91.0
veliki vrh,Savinjska,2000-05-31,110.0
zavodnje,Savinjska,2000-05-31,149.0
velenje,Savinjska,2000-05-31,27.0
skale,Savinjska,2000-05-31,105.0
eis celje,Savinjska,2000-05-31,35.0
trbovlje,Zasavska,2000-05-31,79.0
hrastnik,Zasavska,2000-05-31,67.0
zagorje,Zasavska,2000-05-31,61.0
kovk,Zasavska,2000-05-31,360.0
dobovec,Zasavska,2000-05-31,187.0
kum,Zasavska,2000-05-31,27.0
ravenska vas,Zasavska,2000-05-31,248.0
graska gora,Koroška,2000-06-30,165.0
ljubljana f.,Osrednjeslovenska,2000-06-30,18.0
ljubljana b.,Osrednjeslovenska,2000-06-30,13.0
vnajnarje,Osrednjeslovenska,2000-06-30,30.0
maribor,Podravska,2000-06-30,16.0
eis krsko,Posavska,2000-06-30,159.0
celje,Savinjska,2000-06-30,43.0
sostanj,Savinjska,2000-06-30,345.0
topolsica,Savinjska,2000-06-30,137.0
veliki vrh,Savinjska,2000-06-30,140.0
