Postaja,Regija,Leto,Mesec,Snov,Vrednost
skale,Savinjska,1997,Okt,NOX,9.0
kovk,Zasavska,1997,Okt,NOX,7.0
vnajnarje,Osrednjeslovenska,1997,Okt,NOX,3.0
ljubljana f.,Osrednjeslovenska,1997,Nov,SO2,25.0
ljubljana b.,Osrednjeslovenska,1997,Nov,SO2,23.0
maribor,Podravska,1997,Nov,SO2,24.0
celje,Savinjska,1997,Nov,SO2,33.0
trbovlje,Zasavska,1997,Nov,SO2,43.0
hrastnik,Zasavska,1997,Nov,SO2,25.0
zagorje,Zasavska,1997,Nov,SO2,26.0
sostanj,Savinjska,1997,Nov,SO2,44.0
topolsica,Savinjska,1997,Nov,SO2,20.0
veliki vrh,Savinjska,1997,Nov,SO2,64.0
zavodnje,Savinjska,1997,Nov,SO2,63.0
velenje,Savinjska,1997,Nov,SO2,12.0
graska gora,Koroška,1997,Nov,SO2,28.0
razbor,Posavska,1997,Nov,SO2,
skale,Savinjska,1997,Nov,SO2,15.0
kovk,Zasavska,1997,Nov,SO2,39.0
dobovec,Zasavska,1997,Nov,SO2,78.0
kum,Zasavska,1997,Nov,SO2,38.0
ravenska vas,Zasavska,1997,Nov,SO2,86.0
vnajnarje,Osrednjeslovenska,1997,Nov,SO2,18.0
eis celje,Savinjska,1997,Nov,SO2,17.0
eis krsko,Posavska,1997,Nov,SO2,42.0
ljubljana f.,Osrednjeslovenska,1997,Nov,NO2,38.0
maribor,Podravska,1997,Nov,NO2,41.0
celje,Savinjska,1997,Nov,NO2,
trbovlje,Zasavska,1997,Nov,NO2,34.0
zavodnje,Savinjska,1997,Nov,NO2,8.0
razbor,Posavska,1997,Nov,NO2,
skale,Savinjska,1997,Nov,NO2,10.0
kovk,Zasavska,1997,Nov,NO2,11.0
vnajnarje,Osrednjeslovenska,1997,Nov,NO2,1.0
eis celje,Savinjska,1997,Nov,NO2,
ljubljana f.,Osrednjeslovenska,1997,Nov,NOX,84.0
maribor,Podravska,1997,Nov,NOX,87.0
celje,Savinjska,1997,Nov,NOX,
trbovlje,Zasavska,1997,Nov,NOX,79.0
zavodnje,Savinjska,1997,Nov,NOX,10.0
razbor,Posavska,1997,Nov,NOX,
skale,Savinjska,1997,Nov,NOX,12.0
kovk,Zasavska,1997,Nov,NOX,14.0
vnajnarje,Osrednjeslovenska,1997,Nov,NOX,3.0
ljubljana f.,Osrednjeslovenska,1997,Dec,SO2,28.0
ljubljana b.,Osrednjeslovenska,1997,Dec,SO2,31.0
maribor,Podravska,1997,Dec,SO2,27.0
celje,Savinjska,1997,Dec,SO2,37.0
trbovlje,Zasavska,1997,Dec,SO2,57.0
hrastnik,Zasavska,1997,Dec,SO2,27.0
zagorje,Zasavska,1997,Dec,SO2,23.0
sostanj,Savinjska,1997,Dec,SO2,6.0
topolsica,Savinjska,1997,Dec,SO2,6.0
veliki vrh,Savinjska,1997,Dec,SO2,95.0
zavodnje,Savinjska,1997,Dec,SO2,41.0
velenje,Savinjska,1997,Dec,SO2,10.0
graska gora,Koroška,1997,Dec,SO2,23.0
razbor,Posavska,1997,Dec,SO2,
skale,Savinjska,1997,Dec,SO2,15.0
kovk,Zasavska,1997,Dec,SO2,50.0
dobovec,Zasavska,1997,Dec,SO2,58.0
kum,Zasavska,1997,Dec,SO2,28.0
ravenska vas,Zasavska,1997,Dec,SO2,83.0
vnajnarje,Osrednjeslovenska,1997,Dec,SO2,24.0
eis celje,Savinjska,1997,Dec,SO2,37.0
eis krsko,Posavska,1997,Dec,SO2,32.0
ljubljana f.,Osrednjeslovenska,1997,Dec,NO2,43.0
maribor,Podravska,1997,Dec,NO2,42.0
celje,Savinjska,1997,Dec,NO2,
trbovlje,Zasavska,1997,Dec,NO2,32.0
zavodnje,Savinjska,1997,Dec,NO2,7.0
razbor,Posavska,1997,Dec,NO2,
skale,Savinjska,1997,Dec,NO2,11.0
kovk,Zasavska,1997,Dec,NO2,11.0
vnajnarje,Osrednjeslovenska,1997,Dec,NO2,1.0
eis celje,Savinjska,1997,Dec,NO2,
ljubljana f.,Osrednjeslovenska,1997,Dec,NOX,100.0
maribor,Podravska,1997,Dec,NOX,87.0
celje,Savinjska,1997,Dec,NOX,
trbovlje,Zasavska,1997,Dec,NOX,78.0
zavodnje,Savinjska,1997,Dec,NOX,9.0
razbor,Posavska,1997,Dec,NOX,
skale,Savinjska,1997,Dec,NOX,14.0
kovk,Zasavska,1997,Dec,NOX,18.0
vnajnarje,Osrednjeslovenska,1997,Dec,NOX,4.0
ljubljana f.,Osrednjeslovenska,1998,Jan,SO2,29.0
ljubljana b.,Osrednjeslovenska,1998,Jan,SO2,35.0
maribor,Podravska,1998,Jan,SO2,26.0
celje,Savinjska,1998,Jan,SO2,37.0
trbovlje,Zasavska,1998,Jan,SO2,49.0
hrastnik,Zasavska,1998,Jan,SO2,24.0
zagorje,Zasavska,1998,Jan,SO2,36.0
sostanj,Savinjska,1998,Jan,SO2,33.0
topolsica,Savinjska,1998,Jan,SO2,19.0
veliki vrh,Savinjska,1998,Jan,SO2,112.0
zavodnje,Savinjska,1998,Jan,SO2,56.0
velenje,Savinjska,1998,Jan,SO2,14.0
graska gora,Koroška,1998,Jan,SO2,41.0
skale,Savinjska,1998,Jan,SO2,21.0
kovk,Zasavska,1998,Jan,SO2,91.0
dobovec,Zasavska,1998,Jan,SO2,79.0
kum,Zasavska,1998,Jan,SO2,15.0
ravenska vas,Zasavska,1998,Jan,SO2,68.0
vnajnarje,Osrednjeslovenska,1998,Jan,SO2,26.0
eis celje,Savinjska,1998,Jan,SO2,47.0
eis krsko,Posavska,1998,Jan,SO2,72.0
skale,Savinjska,1998,Jan,SO2,38.0
ljubljana f.,Osrednjeslovenska,1998,Jan,NO2,44.0
maribor,Podravska,1998,Jan,NO2,43.0
celje,Savinjska,1998,Jan,NO2,
trbovlje,Zasavska,1998,Jan,NO2,32.0
zavodnje,Savinjska,1998,Jan,NO2,9.0
skale,Savinjska,1998,Jan,NO2,10.0
kovk,Zasavska,1998,Jan,NO2,9.0
vnajnarje,Osrednjeslovenska,1998,Jan,NO2,1.0
eis celje,Savinjska,1998,Jan,NO2,
skale,Savinjska,1998,Jan,NO2,51.0
