Postaja,Regija,Datum,SO2,PM10,NO2
kovk,Zasavska,1998-11-30,24.0,,7.0
kum,Zasavska,1998-11-30,21.0,,
ravenska vas,Zasavska,1998-11-30,122.0,,
trbovlje,Zasavska,1998-11-30,40.0,,29.0
zagorje,Zasavska,1998-11-30,36.0,,
graska gora,Koroška,1998-12-31,25.0,,
ljubljana b.,Osrednjeslovenska,1998-12-31,40.0,,
ljubljana f.,Osrednjeslovenska,1998-12-31,26.0,,60.0
vnajnarje,Osrednjeslovenska,1998-12-31,26.0,,10.0
maribor,Podravska,1998-12-31,41.0,,45.0
eis krsko,Posavska,1998-12-31,38.0,,
celje,Savinjska,1998-12-31,57.0,,58.0
eis celje,Savinjska,1998-12-31,,,
