Postaja,Regija,Leto,Mesec,NO2
ljubljana b.,Osrednjeslovenska,2002,Jan,30.0
maribor,Podravska,2002,Jan,51.0
celje,Savinjska,2002,Jan,42.0
trbovlje,Zasavska,2002,Jan,39.0
nova gorica,Goriška,2002,Jan,48.0
murska s.-rakican,Pomurska,2002,Jan,27.0
skale,Savinjska,2002,Jan,20.0
kovk,Zasavska,2002,Jan,4.0
vnajnarje,Osrednjeslovenska,2002,Jan,8.0
ljubljana b.,Osrednjeslovenska,2002,Feb,42.0
maribor,Podravska,2002,Feb,40.0
celje,Savinjska,2002,Feb,36.0
trbovlje,Zasavska,2002,Feb,34.0
nova gorica,Goriška,2002,Feb,39.0
murska s.-rakican,Pomurska,2002,Feb,15.0
skale,Savinjska,2002,Feb,15.0
kovk,Zasavska,2002,Feb,8.0
vnajnarje,Osrednjeslovenska,2002,Feb,7.0
ljubljana b.,Osrednjeslovenska,2002,Mar,36.0
maribor,Podravska,2002,Mar,42.0
celje,Savinjska,2002,Mar,33.0
trbovlje,Zasavska,2002,Mar,31.0
nova gorica,Goriška,2002,Mar,36.0
murska s.-rakican,Pomurska,2002,Mar,13.0
skale,Savinjska,2002,Mar,12.0
kovk,Zasavska,2002,Mar,7.0
vnajnarje,Osrednjeslovenska,2002,Mar,5.0
ljubljana b.,Osrednjeslovenska,2002,Apr,30.0
maribor,Podravska,2002,Apr,50.0
celje,Savinjska,2002,Apr,25.0
trbovlje,Zasavska,2002,Apr,32.0
nova gorica,Goriška,2002,Apr,29.0
murska s.-rakican,Pomurska,2002,Apr,11.0
skale,Savinjska,2002,Apr,7.0
kovk,Zasavska,2002,Apr,5.0
vnajnarje,Osrednjeslovenska,2002,Apr,5.0
ljubljana b.,Osrednjeslovenska,2002,Maj,24.0
maribor,Podravska,2002,Maj,31.0
celje,Savinjska,2002,Maj,17.0
trbovlje,Zasavska,2002,Maj,20.0
nova gorica,Goriška,2002,Maj,24.0
murska s.-rakican,Pomurska,2002,Maj,10.0
skale,Savinjska,2002,Maj,10.0
kovk,Zasavska,2002,Maj,3.0
vnajnarje,Osrednjeslovenska,2002,Maj,4.0
ljubljana b.,Osrednjeslovenska,2002,Jun,21.0
maribor,Podravska,2002,Jun,32.0
celje,Savinjska,2002,Jun,17.0
