Postaja,Leto,PM10 - Dnevnih presežkov
sv. mohor,2022,1.0
mb tezno,2022,4.0
gorenje polje,2022,2.0
miklavz,2022,8.0
spuhlja,2022,17.0
ce bolnica,2023,12.0
ce ljubljanska,2023,8.0
hrastnik,2023,1.0
ib gregorciceva,2023,6.0
koper,2023,12.0
kranj,2023,6.0
lj bezigrad,2023,14.0
lj celovska,2023,16.0
lj vic,2023,10.0
mb titova,2023,1.0
ms cankarjeva,2023,33.0
ms rakican,2023,6.0
ng grcna,2023,13.0
ng vojkova,2023,15.0
ptuj,2023,8.0
trbovlje,2023,7.0
zagorje,2023,5.0
zerjav,2023,8.0
lj center,2023,22.0
zadobrova,2023,9.0
medvode,2023,4.0
mb tezno,2023,4.0
morsko,2023,6.0
gorenje polje,2023,11.0
spuhlja,2023,19.0
