Postaja,Leto,Mesec,SO2
skale,2001,Jun,7.0
kovk,2001,Jun,48.0
dobovec,2001,Jun,18.0
kum,2001,Jun,10.0
ravenska vas,2001,Jun,40.0
vnajnarje,2001,Jun,3.0
eis celje,2001,Jun,2.0
eis krsko,2001,Jun,50.0
ljubljana f.,2001,Jul,7.0
ljubljana b.,2001,Jul,8.0
maribor,2001,Jul,6.0
celje,2001,Jul,6.0
trbovlje,2001,Jul,3.0
hrastnik,2001,Jul,7.0
zagorje,2001,Jul,4.0
sostanj,2001,Jul,63.0
topolsica,2001,Jul,8.0
veliki vrh,2001,Jul,48.0
zavodnje,2001,Jul,10.0
velenje,2001,Jul,2.0
graska gora,2001,Jul,9.0
skale,2001,Jul,8.0
kovk,2001,Jul,7.0
dobovec,2001,Jul,4.0
kum,2001,Jul,7.0
ravenska vas,2001,Jul,22.0
vnajnarje,2001,Jul,3.0
eis celje,2001,Jul,2.0
eis krsko,2001,Jul,61.0
ljubljana f.,2001,Avg,5.0
ljubljana b.,2001,Avg,5.0
maribor,2001,Avg,5.0
celje,2001,Avg,13.0
trbovlje,2001,Avg,6.0
hrastnik,2001,Avg,5.0
zagorje,2001,Avg,4.0
sostanj,2001,Avg,27.0
topolsica,2001,Avg,15.0
veliki vrh,2001,Avg,49.0
zavodnje,2001,Avg,25.0
velenje,2001,Avg,3.0
graska gora,2001,Avg,15.0
skale,2001,Avg,12.0
kovk,2001,Avg,9.0
dobovec,2001,Avg,5.0
kum,2001,Avg,4.0
ravenska vas,2001,Avg,30.0
vnajnarje,2001,Avg,2.0
eis celje,2001,Avg,3.0
eis krsko,2001,Avg,78.0
ljubljana f.,2001,Sep,3.0
ljubljana b.,2001,Sep,5.0
maribor,2001,Sep,6.0
celje,2001,Sep,8.0
trbovlje,2001,Sep,3.0
hrastnik,2001,Sep,12.0
zagorje,2001,Sep,5.0
sostanj,2001,Sep,59.0
topolsica,2001,Sep,7.0
veliki vrh,2001,Sep,62.0
zavodnje,2001,Sep,13.0
velenje,2001,Sep,3.0
graska gora,2001,Sep,14.0
skale,2001,Sep,8.0
kovk,2001,Sep,61.0
dobovec,2001,Sep,52.0
kum,2001,Sep,13.0
ravenska vas,2001,Sep,27.0
vnajnarje,2001,Sep,2.0
eis celje,2001,Sep,
eis krsko,2001,Sep,25.0
ljubljana f.,2001,Okt,6.0
ljubljana b.,2001,Okt,15.0
maribor,2001,Okt,7.0
celje,2001,Okt,17.0
trbovlje,2001,Okt,20.0
hrastnik,2001,Okt,19.0
zagorje,2001,Okt,17.0
sostanj,2001,Okt,49.0
topolsica,2001,Okt,14.0
veliki vrh,2001,Okt,79.0
zavodnje,2001,Okt,32.0
velenje,2001,Okt,5.0
graska gora,2001,Okt,17.0
skale,2001,Okt,8.0
kovk,2001,Okt,72.0
dobovec,2001,Okt,48.0
kum,2001,Okt,24.0
ravenska vas,2001,Okt,47.0
vnajnarje,2001,Okt,8.0
eis celje,2001,Okt,5.0
eis krsko,2001,Okt,52.0
ljubljana f.,2001,Nov,8.0
ljubljana b.,2001,Nov,13.0
maribor,2001,Nov,16.0
celje,2001,Nov,18.0
trbovlje,2001,Nov,26.0
hrastnik,2001,Nov,14.0
zagorje,2001,Nov,31.0
sostanj,2001,Nov,26.0
topolsica,2001,Nov,13.0
veliki vrh,2001,Nov,60.0
zavodnje,2001,Nov,32.0
velenje,2001,Nov,4.0
graska gora,2001,Nov,15.0
skale,2001,Nov,7.0
kovk,2001,Nov,6.0
dobovec,2001,Nov,53.0
kum,2001,Nov,95.0
ravenska vas,2001,Nov,77.0
vnajnarje,2001,Nov,10.0
eis celje,2001,Nov,6.0
eis krsko,2001,Nov,27.0
ljubljana f.,2001,Dec,15.0
ljubljana b.,2001,Dec,18.0
maribor,2001,Dec,18.0
celje,2001,Dec,36.0
trbovlje,2001,Dec,47.0
hrastnik,2001,Dec,34.0
zagorje,2001,Dec,61.0
sostanj,2001,Dec,46.0
topolsica,2001,Dec,19.0
veliki vrh,2001,Dec,93.0
zavodnje,2001,Dec,28.0
velenje,2001,Dec,14.0
graska gora,2001,Dec,16.0
skale,2001,Dec,12.0
kovk,2001,Dec,9.0
dobovec,2001,Dec,120.0
kum,2001,Dec,26.0
ravenska vas,2001,Dec,115.0
vnajnarje,2001,Dec,14.0
eis celje,2001,Dec,11.0
eis krsko,2001,Dec,19.0
ljubljana b.,2002,Jan,20.0
maribor,2002,Jan,20.0
celje,2002,Jan,30.0
trbovlje,2002,Jan,64.0
hrastnik,2002,Jan,35.0
zagorje,2002,Jan,31.0
nova gorica,2002,Jan,10.0
murska s.-rakican,2002,Jan,9.0
sostanj,2002,Jan,34.0
topolsica,2002,Jan,31.0
veliki vrh,2002,Jan,121.0
zavodnje,2002,Jan,56.0
velenje,2002,Jan,16.0
graska gora,2002,Jan,36.0
skale,2002,Jan,30.0
kovk,2002,Jan,9.0
dobovec,2002,Jan,92.0
kum,2002,Jan,33.0
ravenska vas,2002,Jan,62.0
vnajnarje,2002,Jan,12.0
eis krsko,2002,Jan,62.0
ljubljana b.,2002,Feb,5.0
maribor,2002,Feb,16.0
celje,2002,Feb,14.0
trbovlje,2002,Feb,19.0
hrastnik,2002,Feb,10.0
zagorje,2002,Feb,13.0
nova gorica,2002,Feb,9.0
murska s.-rakican,2002,Feb,4.0
sostanj,2002,Feb,75.0
topolsica,2002,Feb,23.0
veliki vrh,2002,Feb,60.0
zavodnje,2002,Feb,50.0
velenje,2002,Feb,9.0
graska gora,2002,Feb,32.0
skale,2002,Feb,21.0
kovk,2002,Feb,9.0
dobovec,2002,Feb,42.0
kum,2002,Feb,43.0
ravenska vas,2002,Feb,37.0
vnajnarje,2002,Feb,10.0
eis krsko,2002,Feb,50.0
ljubljana b.,2002,Mar,11.0
maribor,2002,Mar,10.0
celje,2002,Mar,8.0
trbovlje,2002,Mar,15.0
hrastnik,2002,Mar,21.0
zagorje,2002,Mar,21.0
nova gorica,2002,Mar,8.0
murska s.-rakican,2002,Mar,4.0
sostanj,2002,Mar,31.0
topolsica,2002,Mar,20.0
veliki vrh,2002,Mar,54.0
zavodnje,2002,Mar,34.0
velenje,2002,Mar,7.0
graska gora,2002,Mar,28.0
skale,2002,Mar,16.0
kovk,2002,Mar,7.0
dobovec,2002,Mar,20.0
kum,2002,Mar,49.0
ravenska vas,2002,Mar,81.0
vnajnarje,2002,Mar,7.0
eis krsko,2002,Mar,70.0
ljubljana b.,2002,Apr,10.0
maribor,2002,Apr,6.0
celje,2002,Apr,4.0
trbovlje,2002,Apr,14.0
hrastnik,2002,Apr,28.0
zagorje,2002,Apr,20.0
nova gorica,2002,Apr,6.0
murska s.-rakican,2002,Apr,4.0
sostanj,2002,Apr,34.0
topolsica,2002,Apr,12.0
veliki vrh,2002,Apr,57.0
zavodnje,2002,Apr,15.0
velenje,2002,Apr,5.0
graska gora,2002,Apr,15.0
skale,2002,Apr,9.0
kovk,2002,Apr,0.0
dobovec,2002,Apr,42.0
kum,2002,Apr,46.0
ravenska vas,2002,Apr,154.0
vnajnarje,2002,Apr,13.0
eis krsko,2002,Apr,43.0
ljubljana b.,2002,Maj,6.0
maribor,2002,Maj,4.0
celje,2002,Maj,5.0
trbovlje,2002,Maj,11.0
hrastnik,2002,Maj,35.0
zagorje,2002,Maj,11.0
nova gorica,2002,Maj,5.0
murska s.-rakican,2002,Maj,6.0
sostanj,2002,Maj,86.0
topolsica,2002,Maj,14.0
veliki vrh,2002,Maj,37.0
zavodnje,2002,Maj,26.0
velenje,2002,Maj,5.0
graska gora,2002,Maj,27.0
skale,2002,Maj,15.0
kovk,2002,Maj,4.0
dobovec,2002,Maj,55.0
kum,2002,Maj,42.0
ravenska vas,2002,Maj,74.0
vnajnarje,2002,Maj,4.0
eis krsko,2002,Maj,44.0
ljubljana b.,2002,Jun,6.0
maribor,2002,Jun,6.0
celje,2002,Jun,7.0
trbovlje,2002,Jun,20.0
hrastnik,2002,Jun,36.0
zagorje,2002,Jun,16.0
nova gorica,2002,Jun,3.0
murska s.-rakican,2002,Jun,3.0
sostanj,2002,Jun,48.0
topolsica,2002,Jun,14.0
veliki vrh,2002,Jun,35.0
zavodnje,2002,Jun,21.0
velenje,2002,Jun,7.0
graska gora,2002,Jun,14.0
skale,2002,Jun,8.0
kovk,2002,Jun,3.0
dobovec,2002,Jun,62.0
kum,2002,Jun,31.0
ravenska vas,2002,Jun,99.0
vnajnarje,2002,Jun,3.0
eis krsko,2002,Jun,46.0
ljubljana b.,2002,Jul,7.0
maribor,2002,Jul,7.0
celje,2002,Jul,8.0
trbovlje,2002,Jul,14.0
hrastnik,2002,Jul,44.0
zagorje,2002,Jul,15.0
nova gorica,2002,Jul,3.0
murska s.-rakican,2002,Jul,4.0
sostanj,2002,Jul,79.0
topolsica,2002,Jul,19.0
veliki vrh,2002,Jul,67.0
zavodnje,2002,Jul,6.0
velenje,2002,Jul,9.0
graska gora,2002,Jul,18.0
skale,2002,Jul,15.0
kovk,2002,Jul,4.0
dobovec,2002,Jul,34.0
kum,2002,Jul,43.0
ravenska vas,2002,Jul,70.0
vnajnarje,2002,Jul,5.0
eis krsko,2002,Jul,37.0
ljubljana b.,2002,Avg,5.0
maribor,2002,Avg,5.0
celje,2002,Avg,6.0
trbovlje,2002,Avg,8.0
hrastnik,2002,Avg,18.0
zagorje,2002,Avg,4.0
nova gorica,2002,Avg,2.0
murska s.-rakican,2002,Avg,2.0
sostanj,2002,Avg,25.0
topolsica,2002,Avg,10.0
veliki vrh,2002,Avg,64.0
zavodnje,2002,Avg,6.0
velenje,2002,Avg,6.0
graska gora,2002,Avg,19.0
skale,2002,Avg,8.0
kovk,2002,Avg,1.0
dobovec,2002,Avg,3.0
kum,2002,Avg,
ravenska vas,2002,Avg,32.0
vnajnarje,2002,Avg,2.0
eis krsko,2002,Avg,37.0
ljubljana b.,2002,Sep,7.0
maribor,2002,Sep,2.0
celje,2002,Sep,5.0
trbovlje,2002,Sep,7.0
hrastnik,2002,Sep,8.0
zagorje,2002,Sep,13.0
nova gorica,2002,Sep,3.0
murska s.-rakican,2002,Sep,3.0
sostanj,2002,Sep,23.0
topolsica,2002,Sep,11.0
veliki vrh,2002,Sep,56.0
zavodnje,2002,Sep,9.0
velenje,2002,Sep,5.0
graska gora,2002,Sep,19.0
skale,2002,Sep,7.0
kovk,2002,Sep,2.0
dobovec,2002,Sep,11.0
kum,2002,Sep,
ravenska vas,2002,Sep,46.0
vnajnarje,2002,Sep,8.0
eis krsko,2002,Sep,28.0
ljubljana b.,2002,Okt,7.0
maribor,2002,Okt,5.0
celje,2002,Okt,7.0
trbovlje,2002,Okt,8.0
hrastnik,2002,Okt,9.0
zagorje,2002,Okt,11.0
nova gorica,2002,Okt,5.0
murska s.-rakican,2002,Okt,4.0
sostanj,2002,Okt,40.0
topolsica,2002,Okt,9.0
veliki vrh,2002,Okt,45.0
zavodnje,2002,Okt,11.0
velenje,2002,Okt,8.0
graska gora,2002,Okt,16.0
skale,2002,Okt,12.0
kovk,2002,Okt,4.0
dobovec,2002,Okt,61.0
kum,2002,Okt,
ravenska vas,2002,Okt,32.0
vnajnarje,2002,Okt,5.0
eis krsko,2002,Okt,41.0
ljubljana b.,2002,Nov,9.0
maribor,2002,Nov,4.0
celje,2002,Nov,11.0
trbovlje,2002,Nov,12.0
hrastnik,2002,Nov,12.0
zagorje,2002,Nov,14.0
nova gorica,2002,Nov,7.0
murska s.-rakican,2002,Nov,5.0
sostanj,2002,Nov,30.0
topolsica,2002,Nov,7.0
veliki vrh,2002,Nov,30.0
zavodnje,2002,Nov,15.0
velenje,2002,Nov,7.0
graska gora,2002,Nov,11.0
skale,2002,Nov,11.0
kovk,2002,Nov,54.0
dobovec,2002,Nov,45.0
kum,2002,Nov,
ravenska vas,2002,Nov,44.0
vnajnarje,2002,Nov,8.0
eis krsko,2002,Nov,85.0
